Total Score	Alignment
527281	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_HA_H1.sam
527281	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_HA_H1.sam
864536	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_MP.sam
864536	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_MP.sam
371364	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_NA_N1.sam
373014	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_NA_N1.sam
373014	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F3-A_NA_N1.sam
277667	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_NP.sam
277667	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_NP.sam
1041251	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_NS.sam
1041251	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_NS.sam
107156	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_PA.sam
107156	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_PA.sam
96875	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_PB1.sam
96875	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_PB1.sam
81651	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F1-A_PB2.sam
81651	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-042_N0_XLHBTH-WOWatFftFAxrbO7SFnFM8sDlEhPLHbz2/ASSEMBLY/F2-A_PB2.sam
