Total Score	Alignment
1211101	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_HA_H3.sam
1215218	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_HA_H3.sam
1215218	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F3-A_HA_H3.sam
1863040	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_MP.sam
1863040	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_MP.sam
407924	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_NA_N2.sam
407924	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_NA_N2.sam
397549	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_NP.sam
397549	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_NP.sam
103754	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_NS.sam
103754	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_NS.sam
747936	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_PA.sam
747936	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_PA.sam
239587	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_PB1.sam
239587	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_PB1.sam
479363	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F1-A_PB2.sam
479363	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-017_N0_XLHBTH-2kwBal8bA4Pok5f9n073odWLiuCd7Ha1/ASSEMBLY/F2-A_PB2.sam
