Total Score	Alignment
1462140	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_HA_H1.sam
1462140	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_HA_H1.sam
1389167	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_MP.sam
1389167	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_MP.sam
443306	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_NA_N1.sam
445376	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_NA_N1.sam
445376	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F3-A_NA_N1.sam
282311	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_NP.sam
282311	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_NP.sam
889888	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_NS.sam
889888	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_NS.sam
93953	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_PA.sam
93953	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_PA.sam
74012	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_PB1.sam
76305	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_PB1.sam
76317	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F3-A_PB1.sam
76305	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F4-A_PB1.sam
106292	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F1-A_PB2.sam
106284	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-004_N1_BZPB3P-eBThwhKM0YIpqTSbUscpwtz2baQRhnhY/ASSEMBLY/F2-A_PB2.sam
