Total Score	Alignment
860020	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_HA_H1.sam
862277	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_HA_H1.sam
862277	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F3-A_HA_H1.sam
1997412	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_MP.sam
1997412	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_MP.sam
620187	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_NA_N1.sam
622841	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_NA_N1.sam
622841	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F3-A_NA_N1.sam
859150	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_NP.sam
859150	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_NP.sam
2072988	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_NS.sam
2072988	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_NS.sam
95394	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_PA.sam
95394	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_PA.sam
127572	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_PB1.sam
127572	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_PB1.sam
179435	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F1-A_PB2.sam
179435	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-050_N0_XLHBTH-1Z9tOtal6BgQFiqvCHOF0Xynf23CVJU9/ASSEMBLY/F2-A_PB2.sam
